id|img|name|price|vat|amount|height|width|depth|weight|describe|cat
1|https://images.obi.pl/product/PL/932x365/643783_1.jpg|Szczotko-skrobaczka z miękką rączką|19.99|1|76|60.0|12.0|3.0|235|Szczotko-skrobaczka marki Carcommerce to praktyczne narzędzie 2 w 1. Zestaw zawiera szczotkę oraz skrobaczkę. Skrobaczka może służyć do usuwania lodu oraz szronu z szyb samochodu, natomiast szczotka do usuwania śniegu z samochodu. Długość szczotko-skrobaczki to 60 cm, co pozwala na swobodne usuwanie zalegającego na dachu samochodu śniegu. Produkt występuje w miksie kolorystycznym, wskazany zapas sklepu dotyczy wszystkich możliwości kolorystycznych produktu. Zachęcamy do kontaktu z wybranym sklepem w celu ustalenia dostępności konkretnego wariantu.|akcesoria samochodowe
2|https://images.obi.pl/product/PL/932x365/695176_1.jpg,https://images.obi.pl/product/PL/932x365/695176_2.jpg|Prochem Płyn chłodniczy różowy 5L|29.99|1|80|15.0|40.0|30.0|5.0|Płyn do chłodnic Prochem zgodny z wymogami normy G12/G12+ może być stosowany do wszystkich typów układów chłodzących: aluminiowych, żeliwnych i mieszanych. Doskonale zabezpiecza układ chłodzenia silnika przed korozją i kawitacją. Płyn chroni również niemetalowe elementy układu przed szarzeniem.  Produkt jest przyjazny dla środowiska - nie zawiera trujących azotynów, amin i fosforanów.  Latem temperatura wrzenia płynu wynosząca 110°C zapewni sprawne działanie układu chłodzenia i ochronę silnika przed przegrzaniem. Zimą temperatura zamarzania wynosząca -35°C gwarantuje skuteczną ochronę układu przed mrozem.|akcesoria samochodowe
3|https://images.obi.pl/product/PL/932x365/282370_1.jpg|Intertec Zmiotka plastikowa|10.99|1|55|||||Zmiotka plastikowa z dużą ilością rozdrobnionego włosia, poręczna i ergonomiczna. Idealna o każdej porze roku i do wielu czynności. Produkt Polski. Produkt występuje w mixie kolorystycznym, wskazany zapas sklepu dotyczy wszystkich możliwości kolorystycznych produktu. Zachęcamy do kontaktu z wybranym sklepem w celu ustalenia dostępności konkretnego wariantu kolorystycznego.|akcesoria samochodowe
4|https://images.obi.pl/product/PL/932x365/660855_1.jpg|Neutralizator zapachu 250 ml|17.99|1|65|17.5|5.5|5.5|180|Neutralizator zapachu 250 ml  Neutralizator zapachu w sprayu o pojemności 250 ml. Pozostawia aromat zielonej herbaty.|akcesoria samochodowe
5|https://images.obi.pl/product/PL/932x365/684466_1.jpg|Bottari Skrobaczka E-RASER 28,5cm|5.96|1|87|29.0|9.0|4.0|130|Skrobaczka E-RASER 28,5cm, firmy Bottari.  Skrobaczka do usuwania szronu i lodu. Służy do oczyszczania szyb auta z lodu i szronu oraz wody. Wyprodukowana z trwałego tworzywa. Wyposażona w zęby do kruszenia lodu. Posiada wygodny piankowy uchwyt dzięki któremu oczyszczanie jest łatwiejsze i wygodniejsze.|akcesoria samochodowe
6|https://images.obi.pl/product/PL/932x365/660837_1.jpg|Niewidzialna wycieraczka Clearvue Rain Repel 300 ml|49.99|1|41|17.7|7.7|4.4||Niewidzialna wycieraczka Clearvue Rain Repel 300 ml  Preparat skutecznie odpycha wodę, brud, śnieg dla lepszej widoczności w czasie jazdy. Unikalna formuła pozostawia niewidzialną barierę ochronną i nadaje diamentowy połysk.|akcesoria samochodowe
7|https://images.obi.pl/product/PL/932x365/568333_1.jpg|Ścierki z mikrofibry rulon 3 Szt|17.99|1|19|||||Ściereczki z mikrofibry o uniwersalnym zastosowaniu. 3 sztuki o wymiarach 40x30cm Kolor: niebieski, żółty i różowy. Można prać w 60 ° C|akcesoria samochodowe
8|https://images.obi.pl/product/PL/932x365/628552_1.jpg|Preparat przeciw parowaniu szyb 300 ml|18.99|1|30|||||NIGRIN Preparat przeciw parowaniu szyb zwiększa bezpieczeństwo jazdy poprzez zapewnienie widoczności w każdych warunkach pogodowych. Bardzo skuteczny zapewnia długotrwały efekt. Nadaje się również do osłon kasku, soczewek, luster, okulraów do pracy, gogli narciarskich oraz pływackich.|akcesoria samochodowe
9|https://images.obi.pl/product/PL/932x365/247771_1.jpg|Wosk nabłyszczający|17.99|1|0|||||Uniwersalny wosk do lakierów zwykłych i metalicznych. W zestwie gabka do nakładania wosku. Do wypolerowania lakieru zaleca się użycie ścierki z mikrofibry. Odżywia kolor i zabezpiecza przed szkodliwymi warunkami atmosferycznymi.|akcesoria samochodowe
10|https://images.obi.pl/product/PL/932x365/580653_2.jpg,https://images.obi.pl/product/DE/932x365/575912_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|Papier celulozowy w rolce 300 arkuszy|21.99|1|36|23.0|16.0|23.0|1.00|Papier celulozowy w rolce 300 arkuszy  Dwuwarstwowy papier celulozowy w rolce.|akcesoria samochodowe
11|https://images.obi.pl/product/PL/932x365/661879_1.jpg,https://images.obi.pl/product/PL/932x365/661879_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|Zestaw szczotek - 3 szt|59.99|1|83|||||Zestaw 3 szczotek marki LUX-Tools. Szczotki przeznaczone do skutecznego usuwania brudu z felg, podwozia samochodu ale również do czyszczenia innych przedmiotów odpornych na czyszczenie mechaniczne. Szczotki o średnicy: 50/90/100 mm pozwala na dobranie odpowiedniej do konkretnego zadania. Szczotki montowane w uchwycie wiertarskim.|akcesoria samochodowe
12|https://images.obi.pl/product/PL/932x365/695177_1.jpg,https://images.obi.pl/product/PL/932x365/695177_2.jpg|Prochem Płyn chłodniczy niebieski 5L|34.99|1|6|15.0|40.0|30.0|5.0|Płyn do chłodnic Prochem 5L może być stosowany do wszystkich typów układów chłodzących: aluminiowych, żeliwnych i mieszanych. Doskonale zabezpiecza układ chłodzenia silnika przed korozją i kawitacją. Płyn chroni również niemetalowe elementy układu przed szarzeniem.  Produkt jest przyjazny dla środowiska - nie zawiera trujących azotynów, amin i fosforanów.  Latem temperatura wrzenia płynu wynosząca 110°C zapewni sprawne działanie układu chłodzenia i ochronę silnika przed przegrzaniem. Zimą temperatura zamarzania wynosząca -35°C gwarantuje skuteczną ochronę układu przed mrozem.|akcesoria samochodowe
13|https://images.obi.pl/product/PL/932x365/695178_1.jpg,https://images.obi.pl/product/PL/932x365/695178_2.jpg|Prochem Płyn chłodniczy zielony 5L|34.99|1|99|15.0|40.0|30.0|5.0|Płyn do chłodnic Prochem 5L może być stosowany do wszystkich typów układów chłodzących: aluminiowych, żeliwnych i mieszanych. Doskonale zabezpiecza układ chłodzenia silnika przed korozją i kawitacją. Płyn chroni również niemetalowe elementy układu przed szarzeniem.  Produkt jest przyjazny dla środowiska - nie zawiera trujących azotynów, amin i fosforanów.  Latem temperatura wrzenia płynu wynosząca 110°C zapewni sprawne działanie układu chłodzenia i ochronę silnika przed przegrzaniem. Zimą temperatura zamarzania wynosząca -35°C gwarantuje skuteczną ochronę układu przed mrozem.|akcesoria samochodowe
14|https://images.obi.pl/product/PL/932x365/699012_1.jpg|TECMAXX Smar towot 500 ml|16.99|1|93|||||Smar towot marki TECMAXX 500 ml Wielofunkcyjny smar o uniwersalnym zastosowaniu do smarowania łożysk ślizgowych i innych części maszyn. Nie tylko zmniejsza tarcie, ale również tworzy na powierzchniach warstwę chroniącą przed wilgocią i zanieczyszczeniami.|akcesoria samochodowe
15|https://images.obi.pl/product/PL/932x365/689156_1.jpg|eXc ELITE wkład zapachowy słodka pomarańcza|7.99|1|42|17.5|6.0|1.5|20|Wkład do zapachu samochodowego eXc ELITE słodka pomarańcza  Jest to wkład uzupełniający.  eXc ELITE to zamknięte w eleganckiej obudowie intrygujące i przyjemne kompozycje zapachowe.  Montuje się je na kratce nawiewu, co umożliwia regulację intensywności zapachu wraz ze zmniejszaniem i zwiększaniem nawiewu.  Wkłady zapachowe są wymienne, każdorazowo można dokupić inny zapach i wypróbować różne kompozycje.|akcesoria samochodowe
16|https://images.obi.pl/product/PL/932x365/628540_1.jpg|Ściereczka przeciw parowaniu 28 x 28 cm|5.99|1|40|||||Ułatwia czyszczenie okien wewnątrz samochodu. Dzięki efektowi przeciwmgielnemu zwiększa bezpieczeństwo jazdy.|akcesoria samochodowe
17|https://images.obi.pl/product/PL/932x365/625991_1.jpg|Moje Auto Kokpit błyszczący cytrynowy 600ml+25% gratis|17.99|1|43|||||Preparat w aerozolu do czyszczenia kokpitu marki Moje Auto. Preparat do czyszczenia, zostawia antystatyczna powłokę na powierzchni plastiku. Nadaje błyszczące wykończenie, opóźnia starzenie plastików.|akcesoria samochodowe
18|https://images.obi.pl/product/PL/932x365/625995_1.jpg|Moje Auto Kokpit matowy jabłko 600ml|22.99|1|1|||||Preparat w aerozolu do czyszczenia kokpitu marki Moje Auto. Preparat do czyszczenia, zostawia antystatyczna powłokę na powierzchni plastiku. Nadaje matowe wykończenie, opóźnia starzenie plastików.|akcesoria samochodowe
19|https://images.obi.pl/product/PL/932x365/625997_1.jpg|Moje Auto Wosk na mokro 650 ml|16.99|1|5|||||Woska namokro w atomizerze firmy Moje Auto. Najnowsza formuła wosku nabłyszczającego, o potrójnym działaniu. Stosowany na mokry lakier przyśpiesza wysychanie i doskonale nabłyszcza.|akcesoria samochodowe
20|https://images.obi.pl/product/PL/932x365/626024_1.jpg|Moje Auto Kokpit błyszczący 500 ml Cytryna|14.99|1|86|||||Preparat w aerozolu do czyszczenia kokpitu marki Moje Auto. Preparat do czyszczenia, zostawia antystatyczna powłokę na powierzchni plastiku. Nadaje błyszczące wykończenie, opóźnia starzenie plastików.|akcesoria samochodowe
21|https://images.obi.pl/product/PL/932x365/247770_1.jpg|Szampon z woskiem.|14.99|1|15|||||Szampon-koncetrat obojętny dla lakieru i gumowych uszczelek.|akcesoria samochodowe
