https://images.obi.pl/product/PL/thumb/307949_1.jpg|Skiva Taczka spawana 90L|z³|248.0|190.96|248,0 z³|190,96 z³|2^4^8|materialy-budowlane|akcesoria-budowlane|4.5|25.0|248.00 z³ / szt.|0
https://images.obi.pl/product/PL/thumb/512913_1.jpg|Bayersystem Drabina wielofunkcyjna TG-DW 3 x 7 szczebli|z³|359.0|276.43|359,0 z³|276,43 z³|5^8|materialy-budowlane|akcesoria-budowlane|4.2|18.0|398.00 z³ / szt.|1
https://images.obi.pl/product/PL/thumb/512911_1.jpg|Bayersystem Drabina wielofunkcyjna TG-DW 3 x 9 szczebli|z³|598.0|460.46|598,0 z³|460,46 z³|3^9|materialy-budowlane|akcesoria-budowlane|4.6|14.0|598.00 z³ / szt.|2
https://images.obi.pl/product/PL/thumb/472741_1.jpg|CMI Pianka monta¿owa wê¿ykowa 750 ml|z³|17.99|13.85|17,99 z³|13,85 z³|4^6^7|materialy-budowlane|akcesoria-budowlane|4.3|10.0|23.99 z³ / l|3
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 80 g/m2 zielona, 3 m x 4 m|z³|31.99|24.63|31,99 z³|24,63 z³|4^7|materialy-budowlane|akcesoria-budowlane|4.4|118.0|82.99 z³ / szt.|4
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 80 g/m2 zielona, 3 m x 4 m|z³|31.99|24.63|31,99 z³|24,63 z³|4^7|materialy-budowlane|akcesoria-budowlane|4.4|183.0|155.00 z³ / szt.|5
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 80 g/m2 zielona, 3 m x 4 m|z³|31.99|24.63|31,99 z³|24,63 z³|4^7|materialy-budowlane|akcesoria-budowlane|4.4|184.0|31.99 z³ / szt.|6
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 80 g/m2 zielona, 3 m x 4 m|z³|31.99|24.63|31,99 z³|24,63 z³|4^7|materialy-budowlane|akcesoria-budowlane|4.4|182.0|49.99 z³ / szt.|7
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 80 g/m2 zielona, 3 m x 4 m|z³|31.99|24.63|31,99 z³|24,63 z³|4^7|materialy-budowlane|akcesoria-budowlane|4.4|119.0|25.99 z³ / szt.|8
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 120 g/m2 zielona, 3 m x 5 m|z³|49.99|38.49|49,99 z³|38,49 z³|6^7^8|materialy-budowlane|akcesoria-budowlane|4.4|118.0|82.99 z³ / szt.|9
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 120 g/m2 zielona, 3 m x 5 m|z³|49.99|38.49|49,99 z³|38,49 z³|6^7^8|materialy-budowlane|akcesoria-budowlane|4.4|183.0|155.00 z³ / szt.|10
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 120 g/m2 zielona, 3 m x 5 m|z³|49.99|38.49|49,99 z³|38,49 z³|6^7^8|materialy-budowlane|akcesoria-budowlane|4.4|184.0|31.99 z³ / szt.|11
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 120 g/m2 zielona, 3 m x 5 m|z³|49.99|38.49|49,99 z³|38,49 z³|6^7^8|materialy-budowlane|akcesoria-budowlane|4.4|182.0|49.99 z³ / szt.|12
https://images.obi.pl/product/PL/thumb/338529_1.jpg|LUX Plandeka 120 g/m2 zielona, 3 m x 5 m|z³|49.99|38.49|49,99 z³|38,49 z³|6^7^8|materialy-budowlane|akcesoria-budowlane|4.4|119.0|25.99 z³ / szt.|13
