cat, subCat, img, name, price, ratingScore, ratingCount, pricePerAmount
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/512913_1.jpg, Bayersystem Drabina wielofunkcyjna TG-DW 3 x 7 szczebli, 398.00 zł, 4.2, 18, 398.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/307949_1.jpg, Skiva Taczka spawana 90L, 248.00 zł, 4.5, 25, 248.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/472741_1.jpg, CMI Pianka montażowa wężykowa 750 ml, 17.99 zł, 4.3, 10, 23.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/512911_1.jpg, Bayersystem Drabina wielofunkcyjna TG-DW 3 x 9 szczebli, 598.00 zł, 4.6, 14, 598.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/307950_1.jpg, Skiva Taczka Spawana skręcana, 299.00 zł, 4.1, 8, 299.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/338529_1.jpg, LUX Plandeka 120 g/m2 zielona 4 m x 6 m, 82.99 zł, 4.4, 118, 82.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/605989_1.jpg, GruzBag Worek na gruz z usługą odbioru, 309.00 zł, 4.3, 3, 309.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/136965_1.jpg, LUX Plandeka 80 g/m2 zielona 2 m x 3 m, 13.99 zł, 4.4, 184, 13.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/158555_1.jpg, Soudal Pianka montażowa z aplikatorem Genius Gun 750 ml, 26.99 zł, 4.2, 5, 35.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285636_1.jpg, KRAUSE Drabina wielofunkcyjna 3x9 CORDA, 699.00 zł, 5, 3, 699.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/534437_1.jpg, Daniel Drabina rozstawna lakierowana DRL-6 Lux, 189.00 zł, 5, 1, 189.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/592888_2.jpg, Altrad Poland Betoniarka MIX-130/ŻKE 550 W, 999.00 zł, 4.6, 5, 999.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/512858_1.jpg, Fola Worek na gruz 65 cm x 105 cm, 7.99 zł, 4, 2, 7.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/618892_1.jpg, Bayersystem Drabina przystawna TG-DJ 1 x 10 szczebli, 229.00 zł, 0, 0, 229.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285637_1.jpg, KRAUSE Drabina wielofunkcyjna 3x11 CORDA, 999.00 zł, 4.4, 7, 999.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/691663_1.jpg, Skiva Taczka spawana SPC-T2 90 L, 349.00 zł, 0, 0, 349.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/626620_1.jpg, Skiva Betoniarka SB-100 550 W, 849.00 zł, 4.4, 15, 849.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/544040_1.jpg, Soudal Pianka montażowa pistoletowa Okna & Drzwi 750 ml, 29.99 zł, 5, 2, 39.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/497831_1.jpg, LUX Plandeka 120 g/m2 biała 3 m x 4 m, 41.99 zł, 4.4, 185, 41.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/338529_1.jpg, LUX Plandeka 120 g/m2 zielona 6 m x 8 m, 155.00 zł, 4.4, 183, 155.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/260974_1.jpg, Skiva Betoniarka SB-140 550 W, 999.00 zł / szt., 4.1, 11, 999.00 zł / opakowanie
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285634_1.jpg, KRAUSE Drabina wielofunkcyjna Tribilo 3x14 MONTO, 2 199.00 zł, 5, 1, 2 199.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/696563_1.jpg, Worek na gruz Big Bag 70 cm x 70 cm x 70 cm, 44.99 zł, 0, 0, 0
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/338529_1.jpg, LUX Plandeka 80 g/m2 zielona 3 m x 4 m, 31.99 zł, 4.4, 184, 31.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/590226_1.jpg, Altrad Betoniarka B1610 1000 W, 1 499.00 zł, 4, 2, 1 499.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/499870_1.jpg, Krause Mini rusztowanie Corda, 999.00 zł, 5, 2, 999.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285639_1.jpg, KRAUSE Drabina wielofunkcyjna 3x7 CORDA TR z funkcją ustawienia na schodach, 599.00 zł, 5, 1, 599.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/338529_1.jpg, LUX Plandeka 120 g/m2 zielona 3 m x 5 m, 49.99 zł, 4.4, 182, 49.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285632_1.jpg, KRAUSE Drabina wielofunkcyjna Tribilo 3x10 MONTO, 1 299.00 zł, 5, 2, 1 299.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285635_2.jpg, KRAUSE Drabina wielofunkcyjna 3x7 CORDA, 499.00 zł, 5, 4, 499.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/478287_1.jpg, Soudal Pianka montażowa z aplikatorem Genius Gun zimowa 750 ml, 26.99 zł, 5, 1, 35.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285633_1.jpg, KRAUSE Drabina wielofunkcyjna Tribilo 3x12 MONTO, 1 649.00 zł, 5, 1, 1 649.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/696610_1.jpg, Skiva Drabina wielofunkcyjna 3 x 7 szczebli, 399.00 zł, 0, 0, 0
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/553785_1.jpg, Rew-Ton Przęsło konstrukcyjne 1101 1 m, 79.99 zł, 3.2, 9, 79.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/632595_1.jpg, Fola Membrana dachowa Expert 1.5 m x 50 m 180 g / m2, 499.00 zł, 0, 0, 6.66 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/690060_1.jpg, Pianka Iozuplus izolacja termiczna 750 ml, 47.99 zł, 0, 0, 63.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/263568_1.jpg, Soudal Pianka montażowa z aplikatorem Genius Gun 300 ml, 21.99 zł, 5, 1, 73.30 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/338529_1.jpg, LUX Plandeka 120 g/m2 zielona 2 m x 3 m, 25.99 zł, 4.4, 119, 25.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/421602_1.jpg, Soudal Pianka montażowa wężykowa Soudafoam EX-TRA 66 750 ml, 34.99 zł, 5, 1, 46.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/158559_1.jpg, Soudal Płyn czyszczący Gun & Foam Cleaner 500 ml, 29.99 zł, 5, 1, 59.98 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/281772_1.jpg, Piana pistoletowa EXPERT LINE 750 ml, 28.99 zł, 0, 0, 38.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/544041_1.jpg, Soudal Ściereczki czyszczące SWIPEX XXL 20 sztuk, 19.99 zł, 0, 0, 1.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/640852_1.jpg, Soudal Piana montażowa z aplikatorem Genius Gun 500ml + 20% gratis, 24.99 zł, 5, 1, 41.65 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/628711_2.jpg, Fola Worek na gruz Big Bag 91 cm x 91 cm x 120 cm, 69.99 zł, 5, 2, 69.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/634622_1.jpg, Fola Membrana dachowa Expert 1.5 m x 50 m 180 g/m, 12.73 zł, 0, 0, 8.49 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/281773_1.jpg, Piana montażowa EXPERT LINE 750 ml, 25.99 zł, 0, 0, 34.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/300062_1.jpg, Altrad Poland Betoniarka MK-185 PROFI 145l korba, 2 699.00 zł, 0, 0, 2 699.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/634620_1.jpg, Fola Membrana dachowa Strong 1.5 m x 50 m 150 g/m, 10.48 zł, 0, 0, 6.99 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/687605_1.jpg, Krause Aluminiowe rusztowanie robocze Clim Tec 1. kondygnacja 5 m, 2 199.00 zł, 0, 0, 2 199.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/687606_1.jpg, Krause Aluminiowe rusztowanie robocze Clim Tec 2. kondygnacja 7 m, 2 599.00 zł, 0, 0, 2 599.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564271_1.jpg, Kurtyna przeciwkurzowa 100 cm x 215 cm, 40.99 zł, 5, 1, 40.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/505066_1.jpg, Patrol Group Miska na gips 500 ml, 11.99 zł, 0, 0, 11.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/170184_1.jpg, Rew-Ton Podest z blachy perforowanej 12-A/B, 299.00 zł, 0, 0, 299.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/262127_1.jpg, Ceresit Piana Whiteteq pistoletowa 750 ml, 39.99 zł, 5, 1, 53.32 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/662276_1.jpg, Krause Drabina przegubowa z platformą Corda 4x3, 899.00 zł, 0, 0, 899.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/697833_1.jpg, Folia żółta 1.2 m x 8 m, 14.99 zł, 0, 0, 1.57 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/697834_1.jpg, Drabina drewniana 2 elementowa 2 x 5, 399.00 zł, 0, 0, 0
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/158556_1.jpg, Soudal Pianka montażowa z aplikatorem Genius Gun 500 ml, 24.99 zł, 4.5, 2, 49.98 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/603433_1.jpg, Soudal Pianka montażowa pistoletowa Soudafoam Maxi 870 ml, 44.99 zł, 0, 0, 51.72 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/632593_1.jpg, Fola Membrana dachowa Strong 1.5 m x 50 m 150 g / m2, 469.00 zł, 0, 0, 6.26 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/673712_1.jpg, Mapei Wiadro 16 l, 19.99 zł, 0, 0, 19.99 zł / szt.
