idProduktu,NazwaTypPozycja,WartoscPozycja,Ilosc
0,Kolor:select:0,Pomarańczowy:0,1
0,Kolor:select:1,Czerwony:1,2
0,Wielkość:select:0,Średni:0,1
0,Wielkość:select:1,Mały:1,2
1,Kolor:select:0,Niebieski:0,1
1,Kolor:select:1,Pomarańczowy:1,2
1,Wielkość:select:0,Bardzo duży:0,1
1,Wielkość:select:1,Bardzo mały:1,2
2,Kolor:select:0,Lazurowy:0,1
2,Wielkość:select:0,Duży:0,1
3,Kolor:select:0,Niebieski:0,1
3,Kolor:select:1,Czerwony:1,2
3,Wielkość:select:0,Mały:0,1
3,Wielkość:select:1,Bardzo mały:1,2
4,Kolor:select:0,Niebieski:0,1
4,Kolor:select:1,Burgundowy:1,2
4,Kolor:select:2,Czerwony:2,3
4,Wielkość:select:0,Bardzo mały:0,1
5,Kolor:select:0,Czerwony:0,1
5,Wielkość:select:0,Bardzo mały:0,1
6,Kolor:select:0,Niebieski:0,1
6,Kolor:select:1,Czerwony:1,2
6,Wielkość:select:0,Średni:0,1
7,Kolor:select:0,Burgundowy:0,1
7,Kolor:select:1,Niebieski:1,2
7,Kolor:select:2,Czerwony:2,3
7,Wielkość:select:0,Bardzo mały:0,1
7,Wielkość:select:1,Duży:1,2
8,Kolor:select:0,Czerwony:0,1
8,Wielkość:select:0,Duży:0,1
8,Wielkość:select:1,Mały:1,2
9,Kolor:select:0,Czerwony:0,1
9,Wielkość:select:0,Średni:0,1
9,Wielkość:select:1,Duży:1,2
10,Kolor:select:0,Błękitny:0,1
10,Kolor:select:1,Niebieski:1,2
10,Wielkość:select:0,Średni:0,1
10,Wielkość:select:1,Mały:1,2
11,Kolor:select:0,Pomarańczowy:0,1
11,Kolor:select:1,Błękitny:1,2
11,Wielkość:select:0,Bardzo duży:0,1
12,Kolor:select:0,Błękitny:0,1
12,Kolor:select:1,Czerwony:1,2
12,Kolor:select:2,Niebieski:2,3
12,Wielkość:select:0,Bardzo duży:0,1
12,Wielkość:select:1,Średni:1,2
13,Kolor:select:0,Zielony:0,1
13,Wielkość:select:0,Średni:0,1
13,Wielkość:select:1,Mały:1,2
14,Kolor:select:0,Lazurowy:0,1
14,Kolor:select:1,Burgundowy:1,2
14,Wielkość:select:0,Duży:0,1
15,Kolor:select:0,Błękitny:0,1
15,Wielkość:select:0,Bardzo duży:0,1
16,Kolor:select:0,Pomarańczowy:0,1
16,Kolor:select:1,Zielony:1,2
16,Kolor:select:2,Lazurowy:2,3
16,Wielkość:select:0,Bardzo duży:0,1
16,Wielkość:select:1,Duży:1,2
17,Kolor:select:0,Burgundowy:0,1
17,Kolor:select:1,Lazurowy:1,2
17,Kolor:select:2,Pomarańczowy:2,3
17,Wielkość:select:0,Duży:0,1
17,Wielkość:select:1,Bardzo duży:1,2
18,Kolor:select:0,Czerwony:0,1
18,Wielkość:select:0,Mały:0,1
19,Kolor:select:0,Pomarańczowy:0,1
19,Wielkość:select:0,Średni:0,1
19,Wielkość:select:1,Mały:1,2
20,Kolor:select:0,Pomarańczowy:0,1
20,Wielkość:select:0,Bardzo mały:0,1
20,Wielkość:select:1,Duży:1,2
21,Kolor:select:0,Czerwony:0,1
21,Kolor:select:1,Niebieski:1,2
21,Kolor:select:2,Pomarańczowy:2,3
21,Wielkość:select:0,Średni:0,1
21,Wielkość:select:1,Bardzo mały:1,2
22,Kolor:select:0,Pomarańczowy:0,1
22,Kolor:select:1,Lazurowy:1,2
22,Wielkość:select:0,Bardzo mały:0,1
23,Kolor:select:0,Pomarańczowy:0,1
23,Wielkość:select:0,Bardzo mały:0,1
23,Wielkość:select:1,Mały:1,2
24,Kolor:select:0,Lazurowy:0,1
24,Wielkość:select:0,Średni:0,1
24,Wielkość:select:1,Mały:1,2
25,Kolor:select:0,Lazurowy:0,1
25,Kolor:select:1,Błękitny:1,2
25,Kolor:select:2,Zielony:2,3
25,Wielkość:select:0,Mały:0,1
25,Wielkość:select:1,Duży:1,2
26,Kolor:select:0,Burgundowy:0,1
26,Kolor:select:1,Czerwony:1,2
26,Kolor:select:2,Niebieski:2,3
26,Wielkość:select:0,Bardzo mały:0,1
26,Wielkość:select:1,Duży:1,2
27,Kolor:select:0,Niebieski:0,1
27,Kolor:select:1,Czerwony:1,2
27,Kolor:select:2,Błękitny:2,3
27,Wielkość:select:0,Bardzo duży:0,1
27,Wielkość:select:1,Mały:1,2
28,Kolor:select:0,Czerwony:0,1
28,Wielkość:select:0,Duży:0,1
28,Wielkość:select:1,Bardzo duży:1,2
29,Kolor:select:0,Niebieski:0,1
29,Kolor:select:1,Burgundowy:1,2
29,Wielkość:select:0,Średni:0,1
29,Wielkość:select:1,Bardzo mały:1,2
30,Kolor:select:0,Pomarańczowy:0,1
30,Wielkość:select:0,Bardzo mały:0,1
31,Kolor:select:0,Błękitny:0,1
31,Wielkość:select:0,Duży:0,1
32,Kolor:select:0,Zielony:0,1
32,Wielkość:select:0,Duży:0,1
33,Kolor:select:0,Niebieski:0,1
33,Wielkość:select:0,Duży:0,1
34,Kolor:select:0,Zielony:0,1
34,Kolor:select:1,Błękitny:1,2
34,Kolor:select:2,Pomarańczowy:2,3
34,Wielkość:select:0,Bardzo duży:0,1
34,Wielkość:select:1,Średni:1,2
35,Kolor:select:0,Pomarańczowy:0,1
35,Kolor:select:1,Burgundowy:1,2
35,Kolor:select:2,Lazurowy:2,3
35,Wielkość:select:0,Duży:0,1
36,Kolor:select:0,Błękitny:0,1
36,Kolor:select:1,Niebieski:1,2
36,Kolor:select:2,Czerwony:2,3
36,Wielkość:select:0,Mały:0,1
36,Wielkość:select:1,Średni:1,2
37,Kolor:select:0,Pomarańczowy:0,1
