id|img|name|price|vat|amount|height|width|depth|weight|describe|cat
101|https://images.obi.pl/product/PL/932x365/285633_1.jpg;https://images.obi.pl/product/PL/932x365/285633_2.jpg;https://assets.obi.de/skin/a94dcb7/images/blind.gif;https://assets.obi.de/skin/a94dcb7/images/blind.gif|KRAUSE Drabina wielofunkcyjna Tribilo 3x12 MONTO|1649.0|1|76||||||materiały budowlane
102|https://images.obi.pl/product/PL/932x365/646954_1.jpg|Expert Line Piana pistoletowa ThermoFoam White 750 ml|34.99|1|82|33.0|6.5|6.5|900.0|Poliuretanowa piana Expert Line Thermofoam jest jednoskładnikową, elastyczną pianą o zwiększonej wydajności i znakomitej termoizolacyjności. Charakteryzuje się dużą wytrzymałością mechaniczną i doskonałą przyczepnością do większości materiałów stosowanych w budownictwie. Formuła piany eliminuje możliwość wypaczeń profili okiennych i drzwiowych oraz wykazuje doskonałe parametry termoizolacyjne i dźwiękochłonne. Szczególnie polecana do montażu stolarki w domach drewnianych i konstrukcji szkieletowej, gdzie występują zmiany geometrii.|materiały budowlane
103|https://images.obi.pl/product/PL/932x365/673712_1.jpg|Mapei Wiadro 16 l|19.99|1|86|33.0|28.5|28.5|510.0|Wiadro 16 l o wymiarach 33 cm x 28 cm, firmy Mapei.  Dzięki wykorzystaniu do produkcji wysokoelastycznych tworzyw, wiadro jest odporne na uszkodzenia mechaniczne. Jest stabilne i nie odkształca się podczas użytkowania. Posiada metalowy uchwyt, ułatwiający przenoszenie. Wiadro budowlane stanowi praktyczne i wygodne narzędzie, niezbędne przy pracach budowlanych i remontowych.|materiały budowlane
104|https://images.obi.pl/product/PL/932x365/696563_1.jpg|Worek na gruz Big Bag 70 cm x 70 cm x 70 cm|44.99|1|33|70.0|70.0|70.0|550.0|Worek na gruz Big Bag . Wykonany z polipropylenu mocny worek o ładowności 500 kg i o uniwersalnym zastosowaniu. Przeznaczony do magazynowania i transportu stałych i sypkich odpadów budowlanych. Idealny również do pakowania piasku, ziemi, drewna, węgla, miału, brykietów, ziemniaków, warzyw i owoców.|materiały budowlane
105|https://images.obi.pl/product/PL/932x365/696159_1.jpg|Soudal Piana ognioochronna Soudafoam 750 ml|129.0|1|55|||||Pianka montażowa Soudafoam, marki Soudal. Jest to specjalistyczna, ognioodporna i dymoszczelna pianka poliuretanowa, o odporności ogniowej do EI 240. Charakteryzuje się doskonalą przyczepnością do typowych podłoży budowlanych. Idealna do ogniochronnego wypełniania, szczelin i złączy liniowych w przegrodach: murowanych z cegły, betonowych, żelbetowych i innych. Posiada doskonałą charakterystykę rozprężenia, co gwarantuje brak skurczu i rozprężeń następczych. Dzięki specjalnej budowie aplikatora wężykowego, jest łatwa w aplikacji nawet dla niedoświadczonych osób. Dodatkową zaletą pianki jest to, iż nie zawiera gazów szkodliwych dla warstwy ozonowej.|materiały budowlane
106|https://images.obi.pl/product/PL/932x365/697833_1.jpg|Folia żółta 1,2 m x 8 m|14.99|1|25|||||Przeznaczona do zabezpieczania stanowisk pracy, materiałów budowlanych, wykopów. Może być wykorzystana do czasowego zabezpieczenia izolacji termicznej i akustycznej przed zawilgoceniem.|materiały budowlane
107|https://images.obi.pl/product/PL/932x365/158556_1.jpg|Soudal Pianka montażowa z aplikatorem Genius Gun 500 ml|24.99|1|53|27.5|6.5|6.5|460.0|Pianka montażowa poliuretanowa z aplikatorem Genius Gun, marki Soudal. Przeznaczona jest do różnego rodzaju prac budowlanych. Dzięki specjalnej formule o obniżonej rozprężalności, jest bezpieczna dla delikatnych elementów. Idealnie nadaje się do uszczelniania i łączenia drewnianych elementów w konstrukcjach szkieletowych, uszczelniania stolarki drzwiowej i okiennej, wygłuszania, uszczelniania oraz montażu parapetów, rolet, schodów, uszczelniania w systemach chłodzących, termoizolacji armatury łazienkowej, sieci wodnokanalizacyjnej itp. Charakteryzuje się tym, iż jest precyzyjna i oszczędna w aplikacji, istnieje możliwość przerwania pracy w dogodnym momencie. Wygodny uchwyt umożliwia pełną kontrolę ilości wypuszczanej z puszki pianki. Niewątpliwą zaletą pianki jest doskonała przyczepność do typowych podłoży budowlanych z drewna, PCV, betonu, cegły, powierzchni szkliwionych, aluminium i innych metali.|materiały budowlane
108|https://images.obi.pl/product/PL/932x365/338529_1.jpg;https://images.obi.pl/product/PL/932x365/338529_2.jpg;https://assets.obi.de/skin/a94dcb7/images/blind.gif|LUX Plandeka 120 g/m2 zielona 2 m x 3 m|25.99|1|28|34.0|44.0|2.0|756.0|Plandeka budowlana zielona 120g/m2 Zielona plandeka budowlana świetnie nada się do przykrywania oraz zabezpieczania powierzchni oraz różnego rodzaju przedmiotów. Została wykonana z polietylenu, dzięki czemu jest niezwykle trwała i zachowuje swoją funkcjonalność przez długi okres użytkowania. Wymiary plandeki wynoszą 2 m x 3 m, przez co z łatwością pokryje nawet duże powierzchnie. Posiada metalowe oczka do mocowania. Chroni powierzchnię oraz przedmioty w trakcie prac budowlanych oraz malarskich.|materiały budowlane
109|https://images.obi.pl/product/PL/932x365/580590_1.jpg|Soudal Pianka Comfort Genius Gun montażowa 750 ml|39.99|1|80|38.0|6.5|6.5|760.0|Pianka montażowa Comfort z aplikatorem Genius Gun, marki Soudal. Wielosezonowa pianka montażowa wielorazowego użytku z opatentowanym aplikatorem Genius Gun. Zapewnia wielokrotne użycie, umożliwia przerwanie i wznowienie pracy w dowolnym momencie bez ryzyka zablokowania zaworu. Przeznaczona jest do wypełniania pustych przestrzeni w konstrukcjach szkieletowych oraz do termoizolacji instalacji centralnego ogrzewania i wodno-kanalizacyjnej, armatury łazienkowej, wanien, brodzików itp. A także do uszczelnienia przy montażu stolarki okiennej i drzwiowej, z drewna, PVC i aluminium oraz montażu i uszczelniania parapetów, rolet, progów, stopni schodów itp. Charakteryzuje się doskonałą przyczepnością do drewna i materiałów drewnopochodnych, PVC, aluminium i innych metali (również pokrytych powłokami lakierniczymi), betonu, cegły, powierzchni szkliwionych itp.|materiały budowlane
110|https://images.obi.pl/product/PL/932x365/281732_1.jpg|Piana pistoletowa 65 PVC EXPERT LINE Professional 840 ml|39.99|1|47|||||Piana poliuretanowa 65 PVC szczególnie plecana przy montażu okien i drzwi PCV i aluminium. Odznacza się bardzo dobrą przyczepnością i wytrzymałością mechaniczną. Ze względu na podwyższoną elastyczność piana może być stosowana do wypełniania dylatacji. Utwardza się pod wpływem wilgoci z powietrza atmosferycznego. Po utwardzeniu wykazuje doskonałe parametry termoizolacyjne oraz dźwiekochłonne. Odporna na powstawanie pleśni i grzybów. Wydajność na wysokim poziomie 30-45 l.|materiały budowlane
